Date,Conference,Session,Country,Groupe of Country,Signals,Keywords,"Notes ",ID
"September 19, 2025",HRC 60,General Debate- Item 3,Algeria,AFG,"Western Sahara ; Genocide Palestine ","Palestinian People, Western Sahara",,3
"September 19, 2025",HRC 60,General Debate- Item 3,Ukraine,"EEG, Lublin Triangle","Ukrainian Children return needs international cooperation; ",Ukrainian Children,,4
"September 19, 2025",HRC 60,General Debate- Item 3,Iran,APG,"Right to development foreign occupation unilateral measure undermine the right  ar,ing vulnerable groups and gaza situation but mostly right of development ","Palestinian People, RTD, Unilateral measure",,7
"September 19, 2025",HRC 60,General Debate- Item 3,UAE,APG,Candidacy; Right to have a Family Life,"HRC Candidacy, Promotion",,8
"September 19, 2025",HRC 60,General Debate- Item 3,Russia,EEG,Hatred against Russia; Russiophobia; disinformation campaign; Ban of Russian media,Russophobia,,6
"September 19, 2025",HRC 60,General Debate- Item 3,Nepal,APG,Right to development,"Promotion, RTD",,9
"September 19, 2025",HRC 60,General Debate- Item 3,Azerbaidjan,EEG,Right to development,RTD,,10
"September 19, 2025",HRC 60,General Debate- Item 3,Iraq,APG,Calls on Srs to end genocide war crime end crime against humanity,"Crime against Humanity, Genocide, War Crime",,11
"September 19, 2025",HRC 60,General Debate- Item 3,"Maleysia, NAM",APG,Creation of Ombudsman Institution; protection of whistleblowers,Promotion,,14
"September 19, 2025",HRC 60,General Debate- Item 3,Armenia,EEG,Permanent representative elected at bureau ECOSOC,"ECOSOC, Promotion",,12
"September 19, 2025",HRC 60,General Debate- Item 3,Belarus,EEG,"Human Right System should be reorganized; Promotion of western ideology; ",Sovereignty,,13
"September 19, 2025",HRC 60,General Debate- Item 3,ONU Sida,UN,Liquidity crisis,Liquidity Crisis,,15
"September 19, 2025",HRC 60,General Debate- Item 3,Egypt,AFG,Move away from double standards; Condemn Genocide; Preparing to become a member of the Council;,"Double Standards, Genocide, HRC Candidacy, Palestinian People",,16
"September 19, 2025",HRC 60,General Debate- Item 3,"APG, Bahrein",APG,Establish an NHRI,"ICCPR, RTD",,17
"September 19, 2025",HRC 60,General Debate- Item 3,Nigeria,AFG,Value collaboration with partners,RTD,,18
"September 19, 2025",HRC 60,General Debate- Item 3,India,APG,"No finger pointing; Global South need (Support ?) from the council ; no finger pointing; ","Double Standards, Global South, RTD",,19
"September 19, 2025",HRC 60,General Debate- Item 3,Venezuela,GRULAC,Accompanied victims of enforced disappearance in Salvador; US sanctions is threatening the stability in the region; Urge to condemn the actions of the US,"Condemn the US, Enforced disappearence, Unilateral measure",,20
"September 19, 2025",HRC 60,General Debate- Item 3,Serbia,EEG,Migrant status; human right based approach,"HR Based Approach, Migrant Status",,22
"September 19, 2025",HRC 60,General Debate- Item 3,Afghanistan,APG,"Restriction of internet access; Seeking for support; ",Seek support,,23
"September 19, 2025",HRC 60,General Debate- Item 3,Jordan,APG,Occupation of Palestine is an agression,"Palestinian People, RTD",,24
"September 19, 2025",HRC 60,General Debate- Item 3,Uganda,AFG,The election will be protected by the law,Promotion,,25
"September 19, 2025",HRC 60,General Debate- Item 3,Tunisia,AFG,Legally Binding Instrument for RTD,RTD,,26
"September 19, 2025",HRC 60,Side Event - Balancing Freedom of Expression and Freedom of Religion of Belief online,"PM Switzerland, PR Albania","EEG, WOEG",Focused on Hate speech a lot of promotion;,"Freedom of Religion, Freedom of Speech",,27
"September 19, 2025",HRC 60,Side Event - Addressing The use of military and security enterprises in protection exploitation and conservation of natural ressources,"NGO Trial Int., UNWG on Mercenaries","NGO, OHCHR","Call for Legally Binding Instrument to regulate military ; Trial calls extraterritorial jurisdiction; universal jurisdiction; remedies ","Extraterritorial jurisdiction, LBI on military, Mercenaries, Military, Universal jurisdiction",,29
"September 19, 2025",HRC 60,General Debate- Item 3,Cyprus,"APG, WOEG",Northern Cyprus,"Northern Cyprus, Occupied territories",,28
"September 19, 2025",HRC 60,General Debate- Item 3,Republique of Korea,APG,Japan crimes against Humanity,Crime against Humanity,,30
"September 19, 2025",HRC 60,General Debate- Item 3,Turkyie,APG,Judicial independence ;  NHRI has effective remedy ;  Turkey Cypriote island occupied territories of Cyprus,"Judicial independence, Northern Cyprus, Occupied territories",,31
"September 19, 2025",HRC 60,General Debate- Item 3,Armenia,EEG,Armenia right to reply of Azerbaijan critique that Azeris takes only recommendations of the working group ; ask for the freedom of their citizen,"Arbitrary Detention, WGAD",,32
"September 19, 2025",HRC 60,General Debate- Item 3,Sudan,AFG,Reject the statement of WGAD ;   The report does not reflect the reality on the ground and that the organization Is qualifying mercenaries people has their on people ; Alleged used of force ; Rejected accusation of Human Right violation ;  Paid organization that lack objectivity,"HR Violations, Mercenaries, WGAD",,33
"September 19, 2025",HRC 60,General Debate- Item 3,Lithuania,EEG,Transnational repression of Belarus people ; Lithuania safeguards refugee from Belarus,Transnational Repression,,34
"September 19, 2025",HRC 60,General Debate- Item 3,Thailande,APG,Justification of arrest of Cambodian soldiers saying that detention was not arbitrary and will be released when they  make sure they won t represent a threat anymore they argue that it is compliant with international law,"Extraterritorial jurisdiction, Transnational Repression, WGAD",,35
"September 19, 2025",HRC 60,General Debate- Item 3,China,APG,"Ngo’s remarks Hong Kong firm opposition ; UK applies false claims against China ;   [X] sold his loyalty for Anti-China and reprisals are in accordance with the law of China ; No persecution on the base of freedom of religion 
Stop shielding Hong Kong narrative","Freedom of Religion, Hong-Kong, N/S, WGAD",,36
"September 23, 2025",HRC 60,General Debate - Item 4,Pakistan,APG," Unhelpful use of country specific mandate ;  Genocide Palestine ;  Urge attention on other occupied territories","Country Specific Mandate, Genocide, Occupied territories, Palestinian People",,37
"September 23, 2025",HRC 60,General Debate - Item 4,"GRULAC, Venezuela",GRULAC,Principle of sovereignty ; Lack of consent of the states  ; Unilateral coercive measure ; Use of force and threat of use of force including crimes against humanity,"Consent of state, Country Specific Mandate, Crime against Humanity, Sovereignty, Unilateral measure",,51
"September 23, 2025",HRC 60,General Debate - Item 4,"NAM, Uganda",AFG,"Council need to address HR violations with impartiality,; Concern of selective approach country specific mandate; Prevent double standards ","Country Specific Mandate, Double Standards, OIN",,50
"September 23, 2025",HRC 60,General Debate - Item 4,"LMDC, Venezuela",GRULAC,Reject politicization of general item 4  resolution ;  Council lack of efficiency ; Proliferation of name and shame;  Launch an appeal to promote constructive dialogue to constructive dialogue with the reality of the country,Politicization,,49
"September 23, 2025",HRC 60,General Debate - Item 4,Iran,APG,West countries target some country at general debate item 4; Imposing sanctions,"N/S, Unilateral measure",,48
"September 23, 2025",HRC 60,General Debate - Item 4,France,WOEG," Firm support for Ukrainian ; Firm support for Russian and Belarussian civil society : Yesterday recognized the Genocide in un New York ; Free 3 French arbitrary detained in Iran","Arbitrary Detention, Genocide, Palestinian People",,47
"September 23, 2025",HRC 60,General Debate - Item 4,Cyprus,WOEG,Hamas must release hostages but gaza strip should remain intact withraw of Cyprus support with journalist,"Hamas, Palestinian People",,46
